ledger_id,street,legacy_house,year,legacy_paid_ngn,database_paid_ngn,difference_ngn,status,safety_note
"L-0001","OJO.K","2","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2025","130000","130000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2022","70000","70000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2021","110000","110000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2020","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2017","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2016","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0001","OJO.K","2","2015","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2025","107500","107500","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2023","100000","100000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2021","100000","100000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0002","OJO.K","4","2019","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2019","150000","150000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2017","35000","35000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2016","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0004","OJO.K","8 (occupancy-history edge case)","2015","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2025","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2024","107000","107000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2023","40000","40000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2021","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2020","24000","24000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2019","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0008","OJO.K","11 F-2","2018","15000","15000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0009","OJO.K","11 F-3","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0009","OJO.K","11 F-3","2025","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0009","OJO.K","11 F-3","2024","45000","45000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0009","OJO.K","11 F-3","2023","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2025","47000","47000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2024","74000","74000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2022","50000","50000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2021","50000","50000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0010","OJO.K","11 F-4","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0011","OJO.K","11 F-4b","2025","63000","63000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0011","OJO.K","11 F-4b","2024","12000","12000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0011","OJO.K","11 F-4b","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0011","OJO.K","11 F-4b","2022","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2025","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2024","54000","54000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2023","29000","29000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2021","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2020","20000","20000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2017","11000","11000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2016","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0012","OJO.K","12","2015","40000","40000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0022","OJO.K","16A","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0023","OJO.K","16B","2025","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0023","OJO.K","16B","2024","260000","260000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0023","OJO.K","16B","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0023","OJO.K","16B","2022","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2025","135000","135000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2024","260000","260000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2022","150000","150000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
